asin,title,price,rating,number_of_reviews,bullet_points,seller_rank
B006T0HQ8O,        V-Cube 3 Pillowed       ,       ,4.4 out of 5 stars,278 ratings, ,"#228,615 in Toys & Games ("
B0918KZC9N,        Cuberspeed QY Toys Super Ivy Cube stickereless Skewb Cube Puzzles Eitan Ivy Leaf Cube       ,       ,4.3 out of 5 stars,17 ratings, ,"#319,819 in Toys & Games ("
B08CY54GJC,        cuberspeed YJ Yeet Ball stickerless Cube Weird Twist Puzzle Ball Ivy Ball Cube Unique Cubes       ,       ,4.6 out of 5 stars,261 ratings, ,"#80,654 in Toys & Games ("
B084Z7JZF1,"        Super Impulse Rubik's Revolution, Multi, Model:352       ",    Currently unavailable.   ,4.8 out of 5 stars,145 ratings, ,"#56,056 in Toys & Games ("
B07NFRB7PL,"        Perplexus, Revolution Runner Motorized Motion 3D Gravity Maze Game Brain Teaser Fidget Toy Puzzle Ball, for Kids Ages 9 and up       ",    Currently unavailable.   ,4.6 out of 5 stars,"6,773 ratings", ,"#1,071 in Toys & Games ("
B0971ZBCMH,"        Disney Hocus Pocus Rubik's Cube | Collectible Puzzle Cube Featuring Characters - Winifred, Sarah, Mary, Binx, Billy Butcherson, and Black Flame Candle | Officially Licensed 3x3x3 Rubiks Cube       ",11,4.6 out of 5 stars,11 ratings, ,"#87,174 in Toys & Games ("
B0971XRB81,"        Iron Maiden Rubik's Cube | Collectible Puzzle Cube Featuring Eddie on Album Cover Art - Number O The Beast, Powerslave, Somewhere in Time | Officially Licensed 3x3x3 Rubiks Cube       ",15,4.7 out of 5 stars,207 ratings, ,"#65,091 in Toys & Games ("
B00000IZKX,"        The Original Slinky Walking Spring Toy, Metal Slinky, Fidget Toys, Party Favors and Gifts, Toys for 5 Year Old Girls and Boys, by Just Play       ",2,4.5 out of 5 stars,"28,429 ratings", ,#46 in Toys & Games (
B072PTC2RN,        Boston America - Rubik's Cube Candy Tin with Candy       ,       ,2.3 out of 5 stars,12 ratings, This tin is filled with colorful fruity sours in all six panel colors.  ,
B085CF43X2,"        Bandai America - Rubik's Charaction Cube Puzzle MS Gundam, RX-78-2 Gundam       ",       ,4.2 out of 5 stars,351 ratings, ,"#118,554 in Toys & Games ("
B00TVM6CMS,        Rubik's Cube Miniature Edition- Pocket Sized 3D Puzzle       ,11,4.5 out of 5 stars,495 ratings, ,"#31,738 in Toys & Games ("
B07MMP1XCZ,        Hasbro Gaming Rubik's Cube Neon Pop 3 X 3 Puzzle for Kids Ages 8 & Up       ,       ,4.7 out of 5 stars,543 ratings, ,"#213,922 in Toys & Games ("
B009UFG67W,"        Shengshou 7x7x7 Cube Puzzle, black       ",12,4.4 out of 5 stars,190 ratings, ,"#139,414 in Toys & Games ("
B09M4YKJVC, How To Solve A Rubik's Cube For Kids: The Easiest Way Possible To Solve The Cube! ,11,4.1 out of 5 stars,102 ratings,,
B01EXJW7W2,"        Project Genius Ghost Cube, Multicolor       ",       ,4.4 out of 5 stars,364 ratings, ,"#26,752 in Toys & Games ("
B0B5K9W5T8, How to Solve a Rubik's Cube: The Only Book You'll Ever Need to Solve the Rubik's Cube ,18,4.7 out of 5 stars,11 ratings,,
B08DFBKMXG,"        GAN 356 RS, 3x3 Speed Magic Cube Stickerless Bundle with GAN 249 V2, 2x2 Speed Mini Magic Cube 49mm Stickerless       ",    Currently unavailable.   ,4.6 out of 5 stars,123 ratings, ,"#47,277 in Toys & Games ("
B09NGQ8PT8,"        Skywin Puzzle STEM Cube Game - Entertaining, Fun & Unique Flashing Cube Electronic Memory & Speed Game Development for Kids & Adults Brain - Hands and Eyes Coordination Cube Light       ",11,3.8 out of 5 stars,21 ratings, ,"#40,499 in Toys & Games ("
1697516866, Rubiks Cube Solution For Kids - A Simple 7 Step Beginners Guide To Solving The Rubik’s Cube Puzzle With Logic ,15,4.3 out of 5 stars,216 ratings,,
B07Q2WN174,"        Roxenda Speed Cube Set, [5 Pack] Magic Cube Bundle of 2x2 3x3 Skew Megaminx Cube and Pyramid Cube Smoothly Speed Cubes Collection for Kids Teens & Adults (Black)       ",12,4.7 out of 5 stars,870 ratings, ,"#76,120 in Toys & Games ("
B0953LVZ9D,        Goliath NEXcube 3x3 Classic - Stickerless Speed Cube - Super Smooth Technology Unlocks Super Speed to Break Records! - Multicolor       ,12,4.5 out of 5 stars,242 ratings, ,"#105,425 in Toys & Games ("
B06XQMRRX5,        D-FantiX QY Toys Qidi S2 2x2 Speed Cube Stickerless Puzzle Cube for Kids       ,12,4.5 out of 5 stars,"2,768 ratings", ,"#3,381 in Toys & Games ("
B092W5LRDJ,"        Rubik’s Cube, 3x3 Magnetic Speed Cube, Super Fast Problem-Solving Challenging Retro Fidget Toy Travel Brain Teaser, for Adults & Kids Ages 8 and up       ",18,4.5 out of 5 stars,899 ratings, ,"#16,569 in Toys & Games ("
