asin,price,rating,number_of_reviews,bullet_points,seller_rank
B091GGZT1S,"1,248",4.3 out of 5 stars,717 ratings, ,"
        "
B09LC2YF9J,997,4.8 out of 5 stars,6 ratings, ,"
        "
B08K3NGK2Z,       ,4.3 out of 5 stars,255 ratings, ,"
        "
B09YFVNK2Q,599,4.3 out of 5 stars,172 ratings, ,"
        "
B09M663YCS,       ,4.3 out of 5 stars,5 ratings, ,"
        "
B09MLPK4XX,581,4.2 out of 5 stars,139 ratings, ,"
        "
B098TT9YF7,       ,5.0 out of 5 stars,6 ratings, ,"
        "
B09FNS8YN2,    Currently unavailable.   ,4.3 out of 5 stars,63 ratings, ,"
        "
B09JL3W5D1,829,4.6 out of 5 stars,3 ratings, ,"
        "
B0869L1326,283,4.5 out of 5 stars,"5,612 ratings", ,"
        "
B09Z2154YT,"1,570",4.5 out of 5 stars,142 ratings, ,"
        "
B09W95929V,899,3.0 out of 5 stars,2 ratings,,"
        "
B09QPT6TZJ,    Currently unavailable.   ,4.4 out of 5 stars,153 ratings, ,"
        "
B09TD1FTP7,7,4.4 out of 5 stars,17 ratings, ,"
        "
B09PHB6RPN,39,3.9 out of 5 stars,19 ratings, ,"
        "
B09VJ58NFJ,772,4.9 out of 5 stars,11 ratings, ,"
        "
B09SVS1JR3,"1,574",4.2 out of 5 stars,140 ratings, ,"
        "
B00GDHUZYK,"1,849",3.7 out of 5 stars,41 ratings, ,"
        "
B0B13Y8LK2,"1,069",4.8 out of 5 stars,13 ratings, ,"
        "
B09DFJD6CH,       ,4.1 out of 5 stars,74 ratings, ,"
        "
B0B75HHQ6Y,589,5.0 out of 5 stars,1 rating, ,"
        "
B081V6W99V,       ,4.3 out of 5 stars,"7,526 ratings", ,"
        "
B09JD9KQX7,"1,439",3.4 out of 5 stars,3 ratings, ,"
        "
B09F8N8G76,"1,649",4.0 out of 5 stars,37 ratings, ,"
        "
B09KLX2T92,"1,215",4.5 out of 5 stars,128 ratings, ,"
        "
B08NXSJVCR,       ,4.5 out of 5 stars,"1,050 ratings", ,"
        "
B09X1ZLN7G,       ,4.5 out of 5 stars,22 ratings, ,"
        "
B0957532TZ,       ,4.5 out of 5 stars,21 ratings, ,"
        "
