asin,title,price,rating,number_of_reviews,bullet_points,seller_rank
B09KJK2L6N,"        Rubik’s Crystal, New Transparent 3x3 Cube Classic Color-Matching Problem-Solving Brain Teaser Puzzle Game Toy, for Kids and Adults Aged 8 and up       ",11,4.7 out of 5 stars,703 ratings, ,"#1,262 in Toys & Games ("
B08467TLWS,        Pyraminx Duo       ,    Temporarily out of stock.   ,4.5 out of 5 stars,42 ratings, ,"#200,847 in Toys & Games ("
B01EXJW7W2,,,,,,
B01M0BIPWU,        Speed Stacks | Cubing Pack (G5 Timer and Mat) | Accuracy to .001 Seconds | Designed for Competitive Cubing | Endorsed by The World Cubing Association       ,       ,4.8 out of 5 stars,256 ratings, ,"#37,403 in Sports & Outdoors ("
B07H2FBXZG,"        Roxenda Speed Cube Set, Stickerless Magic Cube Set of 2x2x2 3x3x3 Pyramid Frosted Puzzle Cube       ",10,4.6 out of 5 stars,"6,259 ratings", ,"#7,479 in Toys & Games ("
B07Q2WN174,"        Roxenda Speed Cube Set, [5 Pack] Magic Cube Bundle of 2x2 3x3 Skew Megaminx Cube and Pyramid Cube Smoothly Speed Cubes Collection for Kids Teens & Adults (Black)       ",    Currently unavailable.   ,4.7 out of 5 stars,871 ratings, ,"#42,042 in Toys & Games ("
B09J9ZCN1L,"        Rubik’s Master, The Official 4x4 Cube Classic Color-Matching Problem-Solving Brain Teaser Puzzle 1-Player Game Toy, for Adults & Kids Ages 8 and up       ",    Temporarily out of stock.   ,4.5 out of 5 stars,78 ratings, ,"#7,028 in Toys & Games ("
B092W7D64G,"        Rubik's Cube, The Original 3x3 Cube 3D Puzzle Fidget Cube Stress Relief Fidget Toy Brain Teasers Travel Games, for Adults and Kids Ages 8 and up       ",18,4.7 out of 5 stars,"45,178 ratings", ,#48 in Toys & Games (
B07W5QM4DP,"        SHASHIBO Shape Shifting Box - Award-Winning, Patented Fidget Cube w/ 36 Rare Earth Magnets - Extraordinary 3D Magic Cube – Shashibo Cube Magnet Fidget Toy Transforms Into Over 70 Shapes (Spaced Out)       ",5,4.6 out of 5 stars,"38,855 ratings", ,#11 in Toys & Games (
B0B2D8PYDZ,"        D-FantiX Cyclone Boys Original Magnetic Speed Cube 3x3x3, Mirror Reflective Stickerless Magic Cube, Personalized Shiny Cube Puzzles for Kids Adults (56mm)       ",    Currently unavailable.   ,4.9 out of 5 stars,17 ratings, ,"#29,806 in Toys & Games ("
B0953LVZ9D,        Goliath NEXcube 3x3 Classic - Stickerless Speed Cube - Super Smooth Technology Unlocks Super Speed to Break Records! - Multicolor       ,9,4.5 out of 5 stars,245 ratings, ,"#36,901 in Toys & Games ("
B001PGWDSU,        V-Cube 7 Pillowed       ,       ,3.8 out of 5 stars,477 ratings, ,"#370,393 in Toys & Games ("
B09MLDR1VZ,"        GAN 356 M, 3x3 Magnetic Speed Cube Stickerless with GAN 330 Easter Egg Edition Antique Rhyme Key Chain(Rock Brown)       ",    Currently unavailable.   ,5.0 out of 5 stars,2 ratings, ,"
        "
B08MQF354M,"        GAN 356 R S, 3x3 Speed Cube with GAN 330 Speed Cube Key Chain       ",    Currently unavailable.   ,4.3 out of 5 stars,14 ratings, ,"
        "
B08MPLVMVM,"        GAN 249 V2, 2x2 Speed Cube Gans Mini Cube 49mm Puzzle Toy with GAN 330 Speed Cube Key Chain       ",    Currently unavailable.   ,4.3 out of 5 stars,5 ratings, ,"
        "
B09Z2QYS6Y,"        GAN 12 Maglev UV Coated, 3x3 Stickerless Speed Cube Gans 56mm Magic Cube with GAN 3x3 Non-Smart Cube Display Stand, Plastic Speed Cube Holder Adjustable Puzzle Cube Accessories       ",    Currently unavailable.   ,5.0 out of 5 stars,1 rating, ,"#240,306 in Toys & Games ("
B09MLGBZ88,"        GAN Robot, Cube Solving Machine Automatic Puzzle Scrambler & Solver with GAN 356 i Carry Stickerless Cube Intelligent Tracking Timing Movements Steps with CubeStation App       ",    Currently unavailable.   ,3.9 out of 5 stars,12 ratings, ,"#397,829 in Toys & Games ("
B08DFBKMXG,"        GAN 356 RS, 3x3 Speed Magic Cube Stickerless Bundle with GAN 249 V2, 2x2 Speed Mini Magic Cube 49mm Stickerless       ",    Currently unavailable.   ,4.6 out of 5 stars,123 ratings, ,"#42,980 in Toys & Games ("
